,Astrocyte,Endothelial,Microglia,Excitatory,Inhibitory,Oligo
ZFP36,402.7016319,2079.144872,637.9690069,18.61433117,52.55432942,155.6032281
MSX1,25.20697028,609.9736534,180.8257825,0.356688783,5.957213105,12.83810617
KLF6,56.31958647,1476.892507,1115.119125,110.6678068,75.00478391,39.06241271
SPARC,13.89517996,1387.461017,0,7.269776043,52.55762361,338.7039823
ZFP36L1,204.4699301,375.4875254,268.5140681,9.188242913,4.86852339,0.683989657
FN1,24.59055882,451.9328884,0.081560143,14.83245639,27.4596912,16.99851649
NR4A1,68.57539584,419.9884908,18.51156993,97.69700787,30.27981374,86.28816417
RPLP1,138.3535286,626.615665,451.2735511,167.239346,186.3779314,184.4970981
CDKN1A,0.853386667,533.3426947,285.6603139,41.66938017,39.53240719,14.17637243
RPS6,174.6353489,1413.535687,1888.170967,317.4576954,293.6081812,446.7857856
ANXA2,1.259219614,147.60205,1.046950429,0.045706348,5.922606619,0.093789571
H3F3C,29.4883453,317.85152,111.0342916,54.67478913,75.38382342,140.8503051
AHNAK,36.54264844,69.0434592,0,1.394599565,2.483272867,0.047663971
EMP1,24.16464786,1107.528005,0,1.684160565,1.47854139,5.1438498
MCL1,179.4249355,860.9289275,771.7522637,51.8680847,86.40921627,74.07079891
KLF10,38.30101767,648.2566862,298.2898932,189.1990677,44.42792601,6.599270629
LHFP,196.7366019,1483.147176,0.565992857,119.1457367,158.269306,8.778182
ATF3,7.805076263,572.2025023,179.6679253,3.248333478,10.73399069,36.67774191
BHLHE40,167.7876014,486.7614678,3.703802286,54.03943804,33.17803506,0.2312588
MAFF,49.92695654,237.917954,41.84381543,0,7.512842143,36.02246269
MYL6,171.310483,1103.646179,332.5640011,185.8811962,301.0922086,180.7632025
RPL34,44.96254019,197.9025119,252.9039611,82.53871152,76.69331065,40.73949714
MIDN,33.81530054,83.81748105,26.85625036,14.85588865,10.67807819,47.27063823
MIR22HG,58.51340744,561.6657313,447.6449186,10.01396991,78.53890079,12.78982443
RPL37,8.314986035,53.27370895,62.0794855,31.14449683,16.53315975,9.774765771
VAMP5,75.05269018,914.5719472,54.45166957,0,2.361967,1.391750286
EPAS1,19.84690223,398.0180775,0.102480857,2.097642652,2.439378324,0.151552171
RPS20,68.90092928,376.891837,289.5712008,122.306221,115.5819512,172.4248369
UACA,43.73748539,213.5935764,0.174064214,1.499338957,0.691536257,67.0677528
DDX3Y,348.8866856,900.7771928,484.9091092,48.94610926,40.65869852,330.0591913
